idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
2112,2847,11,11,24,1,29,2,15
5823,1178,4,4,5894,0,39,1,0
18143,2142,28,29,24,2,5,2,1
8247,1676,6,6,7006,0,0,0,0
14616,1484,24,25,15766,0,151,0,0
2112,1791,4,4,2105,0,29,1,0
5254,463,27,28,2989,1,116,1,1
997,2108,18,19,7137,0,72,0,0
6026,144,25,26,6667,0,61,1,0
2475,35,11,11,6417,1,50,0,1
4888,32,10,10,4936,1,77,1,1
5715,501,8,8,10022,0,104,0,0
14540,1738,18,19,14581,0,54,1,0
11547,1719,20,21,12335,1,87,0,0
1731,1266,1,1,2586,0,9,0,0
4653,2210,3,3,1896,0,80,0,0
12454,763,13,14,12725,0,3,1,0
49,49,0,0,49,0,45,0,0
9290,2944,12,13,12486,2,85,0,1
9404,342,17,18,13145,0,178,0,0
17013,3190,25,26,5467,0,157,0,0
9318,1957,7,7,699,0,1,1,0
4828,2248,3,3,4876,1,72,0,0
4367,3013,11,11,841,0,39,0,0
686,566,14,15,12869,1,14,1,1
3606,1082,20,21,15274,0,97,0,0
