unlock_hour,lock_hour,station_lock,lock_station_name,distance,trip_speed,trip_duration_category,travel_direction,lock_unlock_time_gap_hours
12,12,0,0,7538,44565,0,1,0
13,2,45,45,5476,14247,0,0,1
14,15,85,85,1075,43422,1,1,0
3,17,15,15,2208,16774,1,1,1
7,7,201,201,8415,13285,0,0,0
21,22,51,51,18129,54197,1,1,0
8,8,99,99,24,24,0,2,1
7,7,80,80,9842,17133,0,1,0
14,15,184,184,7739,11656,0,0,0
2,2,80,80,11384,21627,0,1,0
19,20,187,187,7613,11387,1,1,0
12,12,115,115,17032,46814,1,0,0
12,12,210,210,1123,1185,0,1,0
2,2,19,19,775,39374,0,0,0
19,7,90,90,13972,37482,0,0,6
12,12,92,92,6003,8226,0,0,0
19,20,133,133,3464,56331,0,1,0
6,6,247,247,942,991,0,0,0
16,17,26,26,4622,16168,0,1,0
13,2,41,41,7191,32411,0,1,1
19,20,164,164,4067,5118,0,0,0
16,17,171,171,4963,15321,0,0,0
21,22,181,181,2814,43036,0,1,0
15,1,37,37,11878,41470,0,1,1
19,20,167,167,14406,54788,0,0,0
22,21,21,21,5213,53646,1,1,1
2,2,191,191,15449,38390,1,0,0
22,5,130,130,11555,27416,0,1,0
1,1,81,81,412,41003,0,0,0
3,3,49,49,1803,7423,1,1,0
17,8,204,204,16868,45890,0,1,0
13,13,65,65,13418,29073,0,1,0
9,9,27,27,1496,1614,0,1,0
18,19,230,230,10584,19228,0,0,0
5,4,150,150,16321,44461,0,1,0
13,13,255,255,2143,8631,0,0,0
5,4,183,183,15570,39010,0,1,0
21,22,103,103,106,20546,0,1,0
6,9,166,166,4539,40875,0,1,1
9,9,210,210,4709,6014,1,1,0
11,18,245,245,3328,31128,0,0,1
8,18,168,168,293,20821,0,1,0
7,7,243,243,8429,36668,0,1,0
8,18,31,31,4703,49076,0,0,0
20,21,122,122,10683,19483,0,1,0
22,5,211,211,24,24,0,2,0
21,4,151,151,24,24,1,2,2
21,22,128,128,2406,17584,0,1,0
17,8,252,252,16891,46036,0,1,0
4,14,149,149,12691,39264,0,1,0
4,4,57,57,7994,56277,0,1,1
21,22,126,126,3347,3987,0,1,0
12,12,181,181,3472,38396,0,1,0
0,0,9,9,6458,24039,0,0,0
4,14,15,15,9649,16562,0,0,0
12,12,149,149,10289,18407,0,0,0
18,19,41,41,711,738,0,0,0
9,9,103,103,11868,41877,0,1,0
16,20,148,148,9091,37529,0,1,1
4,14,140,140,1080,15573,0,0,0
20,21,21,21,3209,41051,0,0,0
0,0,5,5,5082,6599,0,1,0
8,18,254,254,6718,15240,1,0,0
21,13,130,130,4585,25960,1,0,1
0,0,17,17,4280,35299,0,0,0
9,9,208,208,8272,26255,0,0,0
13,13,19,19,12181,44992,0,0,0
12,12,167,167,6590,22377,0,1,0
3,3,97,97,11317,26100,0,1,0
19,20,22,22,569,27514,0,1,0
5,4,7,7,10154,18055,0,1,0
2,0,31,31,6822,9785,0,1,1
8,18,182,182,5102,14459,0,0,0
9,9,142,142,16960,48660,0,1,0
8,18,25,25,1023,31294,1,1,0
2,2,79,79,104,105,0,1,0
12,12,31,31,3848,10130,0,1,0
0,0,21,21,3217,32397,0,1,0
2,0,111,111,216,17971,0,1,1
12,12,211,211,669,33750,0,1,0
13,13,134,134,1079,31620,0,1,0
4,14,75,75,107,109,1,1,0
5,4,41,41,2482,53004,0,0,0
8,18,168,168,4761,6093,0,1,0
5,4,222,222,2941,35223,0,0,0
5,4,41,41,407,6267,0,0,0
11,11,226,226,7272,10691,0,0,0
19,15,8,8,24,24,0,2,1
19,20,160,160,1632,31130,0,0,0
16,17,165,165,4017,21636,0,1,0
3,3,159,159,4561,32192,1,1,0
7,7,227,227,12550,25764,1,0,0
5,4,118,118,1012,13788,0,0,0
8,18,43,43,5385,52567,0,0,0
9,9,178,178,4642,6925,0,0,0
3,3,69,69,367,19254,0,0,0
2,2,222,222,8584,21015,0,0,0
8,18,232,232,7116,42439,0,1,0
16,17,244,244,1166,9314,0,0,0
8,18,201,201,13586,29737,0,0,0
13,2,90,90,15665,39514,1,0,1
9,22,36,36,560,27531,0,1,1
1,1,137,137,2702,3104,0,1,0
22,5,104,104,86,42028,0,0,0
22,5,118,118,18458,56187,0,0,0
10,10,11,11,172,16112,0,1,0
6,6,206,206,1817,22247,0,1,0
3,17,7,7,555,573,1,0,1
2,0,151,151,14289,32672,0,0,1
16,17,79,79,2651,40595,0,0,0
6,6,27,27,1948,57661,0,0,0
4,14,83,83,2074,10336,0,1,0
17,8,73,73,103,39973,0,1,0
17,6,129,129,1708,27723,0,0,1
0,0,211,211,18044,53635,0,1,0
13,2,194,194,1117,4019,1,0,1
9,9,51,51,10253,49898,0,0,0
0,0,184,184,4968,25156,1,0,0
21,22,118,118,1638,34774,0,1,0
13,13,164,164,3456,46945,1,0,0
13,2,79,79,9013,14798,1,1,1
18,19,160,160,3182,3755,0,1,0
8,8,51,51,1579,6508,0,1,1
4,4,6,6,14196,32228,0,1,1
5,4,182,182,1792,32956,0,1,0
11,18,130,130,2248,48264,1,1,1
15,16,123,123,3204,3790,0,1,0
13,2,49,49,2023,55608,0,0,1
22,5,111,111,2256,52156,0,0,0
14,15,45,45,2719,28741,0,1,0
7,7,251,251,2680,26193,0,1,0
12,12,51,51,10827,46233,1,0,0
9,9,150,150,14712,34533,0,0,0
8,8,140,140,1302,1391,1,0,1
2,2,35,35,5019,26867,0,1,0
2,2,20,20,1888,2085,0,1,0
8,18,15,15,4988,46291,1,0,0
0,0,97,97,7509,11161,0,1,0
7,7,220,220,10476,20097,0,1,0
21,22,227,227,9876,28757,0,0,0
21,22,200,200,11389,21639,1,1,0
18,10,34,34,6901,19093,0,0,1
5,4,160,160,3305,3925,0,0,0
5,4,234,234,1444,1555,1,1,0
12,12,211,211,7650,47203,0,0,0
11,11,76,76,268,17554,0,0,0
11,18,182,182,781,37853,1,0,1
2,2,145,145,1143,1206,0,1,0
0,0,194,194,1978,55508,0,1,0
12,12,14,14,6306,37775,0,1,0
5,12,37,37,3167,25053,0,1,1
8,18,200,200,1992,23282,0,1,0
21,22,125,125,18081,54200,0,1,0
6,6,28,28,1643,34478,0,1,0
8,18,103,103,11776,48737,0,1,0
3,3,92,92,12206,54497,0,1,0
5,4,36,36,4702,32324,0,0,0
13,13,95,95,2118,45005,0,1,0
7,7,182,182,6028,35392,0,0,0
19,20,107,107,8686,47689,0,1,0
13,13,119,119,2925,29793,0,1,0
4,14,108,108,8427,13336,0,0,0
16,17,41,41,6444,9049,0,1,0
3,3,101,101,1143,1206,0,0,0
19,20,145,145,1301,29345,0,1,0
13,13,88,88,4398,34874,0,1,0
20,21,39,39,12982,27405,0,0,0
4,14,216,216,6540,9219,0,1,0
3,3,41,41,1201,15380,0,0,0
14,5,107,107,1573,28610,0,1,1
11,11,57,57,5698,44595,0,0,0
5,4,62,62,12512,25605,0,1,0
19,20,39,39,3342,17875,0,1,0
14,15,151,151,11503,21978,0,0,0
7,7,76,76,3530,25370,0,0,0
21,22,140,140,8937,57391,0,0,0
2,0,166,166,1621,21203,0,1,1
13,2,74,74,1440,14771,1,1,1
9,9,77,77,952,1002,0,1,0
6,9,149,149,1115,14340,0,1,1
8,18,83,83,3654,50650,0,0,0
6,6,42,42,6165,37505,0,0,0
2,2,147,147,15189,36944,0,0,0
8,18,133,133,262,5374,0,0,0
13,13,19,19,20,20,0,1,0
16,17,254,254,16325,42915,1,0,0
0,0,77,77,2334,22481,0,0,0
11,18,155,155,14922,35595,1,0,1
13,2,204,204,2939,3420,1,1,1
17,8,224,224,7775,11747,1,1,0
14,15,0,0,40,40,0,0,0
2,2,67,67,10172,18054,0,0,0
21,13,36,36,3192,27064,0,0,1
15,16,150,150,1728,15478,0,1,0
11,11,153,153,2764,51581,0,0,0
11,11,79,79,2395,36111,0,1,0
7,7,194,194,4533,36679,0,1,0
7,7,117,117,901,49610,0,1,0
2,2,17,17,133,14769,0,1,0
5,12,149,149,8627,13850,1,1,1
20,19,148,148,9091,56496,0,1,1
14,15,149,149,9021,48183,0,1,0
3,3,50,50,4274,5362,0,0,0
21,22,213,213,11443,21807,0,1,0
3,3,7,7,3386,8745,0,0,0
19,20,15,15,4876,39339,0,1,0
16,20,74,74,90,91,0,1,1
0,0,124,124,4837,54653,0,0,0
13,2,34,34,17745,51829,0,0,1
2,2,38,38,4866,6256,0,1,0
14,15,41,41,5840,53173,0,1,0
17,8,209,209,4882,48680,0,1,0
13,13,124,124,4049,38287,0,1,0
12,3,37,37,9410,46431,0,0,1
6,6,118,118,1526,33986,0,0,0
2,0,157,157,304,308,1,0,1
8,18,84,84,7313,43667,0,0,0
21,22,8,8,3313,46182,0,0,0
5,4,53,53,12313,28260,0,0,0
9,9,116,116,2632,54602,0,0,0
21,22,46,46,15903,56369,0,1,0
22,5,12,12,9103,15016,0,1,0
0,0,40,40,5301,47991,0,0,0
3,3,40,40,1893,45362,0,0,0
0,0,85,85,3303,3920,0,0,0
2,2,258,258,167,42930,0,1,0
6,6,135,135,4316,19059,0,1,0
12,12,117,117,12655,26133,0,0,0
12,12,182,182,7239,48093,0,0,0
16,17,165,165,8177,25330,0,1,0
13,13,171,171,16498,43809,1,0,0
8,18,111,111,18063,53827,0,0,0
11,11,33,33,2258,25318,0,1,0
1,11,140,140,218,32974,0,0,1
7,7,146,146,4085,24939,0,0,0
4,4,18,18,12272,43963,0,1,1
8,18,10,10,8874,45741,0,0,0
6,6,119,119,5907,12087,0,0,0
12,12,192,192,11565,34487,1,1,0
6,6,154,154,10522,19053,0,1,0
12,12,234,234,18359,55624,1,0,0
4,14,231,231,1935,27186,0,1,0
5,4,8,8,102,103,0,0,0
22,5,150,150,2478,54270,0,0,0
16,20,143,143,24,24,0,2,1
13,13,168,168,14764,34829,0,0,0
17,8,89,89,7706,11592,0,1,0
14,15,125,125,2188,29915,0,1,0
19,20,30,30,7573,41768,0,0,0
16,17,210,210,16553,44085,1,1,0
5,4,112,112,3233,46501,1,0,0
2,2,10,10,4099,48854,0,0,0
8,18,241,241,7738,11651,0,0,0
5,4,228,228,5098,6626,0,1,0
8,18,91,91,2499,17574,0,1,0
19,20,85,85,110,112,0,0,0
12,12,79,79,1874,23976,1,1,0
2,2,83,83,2183,11915,0,0,0
4,4,72,72,5569,48298,0,0,1
16,17,50,50,6555,56664,0,0,0
19,20,85,85,920,28058,0,1,0
9,9,191,191,844,39911,0,1,0
14,5,11,11,7750,15868,1,1,1
6,6,247,247,1574,56441,0,0,0
6,6,192,192,12508,25597,0,1,0
3,3,15,15,2922,21282,0,0,0
14,15,21,21,2772,26156,0,0,0
2,2,157,157,1797,37423,0,1,0
